id,Interactable Name,NPC Name,Conv Name,Interaction Type,Is Interactable,Print Debug,Skip Req Hide,Skip Req Reveal,Start Visible,Magic Required,Reserved Column1,Reserved Column2,Event Destroy,Event Destroy Group,Event Change,Event Hide,Event Reveal,Event Send,Event Lose Combat,Reserved Column4,Event And1,Event And2,Event And3,Event Or1,Event Or2,Event Or3,Earth Allowed1,Earth Allowed2,Air Allowed1,Air Allowed2,Water Allowed1,Water Allowed2,Fire Allowed1,Fire Allowed2,Void Allowed1,Void Allowed2,Child Parameter1,Child Parameter2,Child Parameter3,Child Parameter4,Child Parameter5,Child Parameter6,Loaded
11,fishing_camera_cue4,fishing_camera_cue4,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,Fighting tutorial 1,,Hide man with cart,,fishing_camera_cue4,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,FALSE,FALSE,TRUE,
12,fencing_mist1,fencing_mist1,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,fencing_mist2,fencing_mist2,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,fencing_mist3,fencing_mist3,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,fencing_mist4,fencing_mist4,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,fencing_mist5,fencing_mist5,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,fencing_mist6,fencing_mist6,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,fencing_mist7,fencing_mist7,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,fencing_mist8,fencing_mist8,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,outside_fishing_village1,outside_fishing_village1,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,fire_signal_destroy,,,,,Tutorial_Cue_Outside_FV1,,,,,,,,,,,,,,,,,,,,,,,,,
21,outside_fishing_village2,outside_fishing_village2,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,Reach Edge Of Town 2,,,,,Reach Edge Of Town,,,,,,,,,,,,,,,,,,,,,,,,,
22,outside_fishing_village3,outside_fishing_village3,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Running tutorial 4,,,,the village elder,Tutorial_Cue_Outside_FV4,,,,,,,,,,,,,,,,,,,,,,,,,
23,outside_fishing_village4,outside_fishing_village4,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,Fighting tutorial 1,,,,,Tutorial_Cue_Outside_FV5,,,,,,,,,,,,,,,,,,,,,,,,,
24,forest_dojo1,forest_dojo1,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,Fighting tutorial 1,,,,,Tutorial_Cue_Outside_FD1,,,,,,,,,,,,,,,,,,,,,,,,,
25,forest_dojo2,forest_dojo2,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,Raider blocking path,,,,,Tutorial_Cue_Outside_FD2,,,,,,,,,,,,,,,,,,,,,,,,,
26,forest_camera_cue4,forest_camera_cue4,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,forest_camera_cue5,,,,forest_camera_cue4,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,FALSE,FALSE,FALSE,
27,forest_camera_cue5,forest_camera_cue5,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,raider1_combat_started,,,,forest_camera_cue5,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,TRUE,FALSE,TRUE,
28,Man with cart,Man with cart,,,,TRUE,,,TRUE,,,,,act1_sc1_end,,Hide man with cart,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Raider1,Raider1,,,,,,,TRUE,,,,Two people from inland1,act1_sc1_end,,Raider1_Hide,,,First Fight Ends Win1,,,,,,,,,,,,,,,,,,,,,,,,
30,forest_camera_cue6,forest_camera_cue6,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,Two people from inland1,,,,forest_camera_cue6,First Fight Ends start dialogue,,,,,,,,,,,,,,,,,,,TRUE,TRUE,2,TRUE,FALSE,TRUE,
31,forest_camera_cue7,forest_camera_cue7,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,Two people from inland2,,Raider1_Hide,,forest_camera_cue7,Two people from inland1,,,,,,,,,,,,,,,,,,,TRUE,TRUE,2,TRUE,FALSE,TRUE,
32,Stranger1,Stranger1,,,,,,,FALSE,,,,,act1_sc1_end,,,forest_camera_cue6,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Stranger2,Stranger2,,,,,,,FALSE,,,,,act1_sc1_end,,,forest_camera_cue6,,,,,,,,,,,,,,,,,,,,,,,,,,
34,forest_town_bounds1,forest_town_bounds1,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,forest_town_bounds2,forest_town_bounds2,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,signpost_fv1,signpost_fv1,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,signpost_fv2,signpost_fv2,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,signpost_fv3,signpost_fv3,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,signpost_swamp1,signpost_swamp1,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,signpost_fd1,signpost_fd1,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,statue_fd1,statue_fd1,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,shrinesign_fd1,shrinesign_fd1,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,shrineheel_fd1,shrineheel_fd1,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,shrinesign_fd2,shrinesign_fd2,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,shrineheel_fd2,shrineheel_fd2,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,fishing_village_boulders,fishing_village_boulders,,,,,,,,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,fishing_village_npcs,fishing_village_npcs,,,,,,,,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,forest_town_npcs,forest_town_npcs,,,,,,,,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,shrine_offering_fd1,shrine_offering_fd1,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,shrine_cue_fd1A,,,,,,,,,,,,,,,,,,,0,2,,,,,
50,shrine_cue_fd1A,shrine_cue_fd1A,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,shrine_offering_fd1_hide,,,,shrine_cue_fd1A,shrine_offering_fd1_cue,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,TRUE,TRUE,TRUE,
51,shrine_cue_fd1B,shrine_cue_fd1B,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,shrine_offering_fd1_hide,,,,shrine_cue_fd1B,shrine_offering_fd1_end,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,TRUE,FALSE,TRUE,
52,shrine_offering_fd2,shrine_offering_fd2,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,shrine_offering_fd2_element_active,shrine_cue_fd2A,,,,,,,,,,,,,,,,,,,0,2,,,,,
53,shrine_cue_fd2A,shrine_cue_fd2A,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,shrine_offering_fd2_hide,,,,shrine_cue_fd2A,shrine_offering_fd2_cue,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,TRUE,TRUE,TRUE,
54,shrine_cue_fd2B,shrine_cue_fd2B,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,shrine_offering_fd2_hide,,,,shrine_cue_fd2B,shrine_offering_fd2_end,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,TRUE,FALSE,TRUE,
55,forest_camera_cue12,forest_camera_cue12,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,teacher1 travel start,act1_sc2_end,,,teacher1 joins hide,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,FALSE,FALSE,TRUE,
56,shrine_element_fd2,shrine_element_fd2,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,shrine_offering_fd2_hide,,,,,shrine_offering_fd2_element_active,,,,,,,,,,,3.0_0.0,,,,,,,,0,2,,,,,
57,Old Man1,Old Man1,,,,,,,FALSE,,,,old_man1_hide,act1_sc2_end,,old man parting,scout1 at tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Old Man2,Old Man2,,,,,,,FALSE,,,,mayor send off,act1_sc2_end,,mayor send off,old man from beginning,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Scout1,Scout1,,,,TRUE,,,FALSE,,,,scout1_hide,act1_sc2_end,,old man from beginning,Mayor Intro,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Scout2,Scout2,,,,,,,FALSE,,,,old man parting,act1_sc2_end,,old man parting,scout1 at tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,
61,door_fd1,door_fd1,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Old Man,Old Man,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Old Lady,Old Lady,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Woman,Woman,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Man with weapon,Man with weapon,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Young girl,Young girl,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Man half dressed,Man half dressed,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Boy,Boy,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Woman looking scared,Woman looking scared,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Elderly Man,Elderly Man,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Elderly Woman,Elderly Woman,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Mayor,Mayor,,,,,,,TRUE,,,,,act1_sc1_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Man at road,Man at road,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Woman at entrance,Woman at entrance,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Mayor1,Mayor1,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Woman looking around,Woman looking around,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Man with axe,Man with axe,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Man looking up,Man looking up,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Young man1,Young man1,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Girl pacing,Girl pacing,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Old man with cart,Old man with cart,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Lady cooking,Lady cooking,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Man at tree,Man at tree,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Man near mayor,Man near mayor,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Woman holding cup,Woman holding cup,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Man in fighting stance,Man in fighting stance,,,,TRUE,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Person1,Person1,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Person2,Person2,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Person3,Person3,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Person4,Person4,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Teacher1,Teacher1,,,,,,,TRUE,,,,,act1_sc2_end,,teacher1 joins hide,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Teacher2,Teacher2,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Teacher3,Teacher3,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Student writing,Student writing,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Student looking thoughtful,Student looking thoughtful,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Student2,Student2,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Student holding book,Student holding book,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Student3,Student3,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Student4,Student4,,,,,,,TRUE,,,,,act1_sc2_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Teacher1 traveling,Teacher1 traveling,,,,,,,FALSE,,,,teacher1traveling hide,act1_sc2_end,,,teacher ready to leave with you,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Teacher1 traveling mid,Teacher1 traveling mid,,,,,,,FALSE,,,,tiger in distance,act1_sc2_end,,,Dialogue_Cue_Outside_FD1,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Teacher1 traveling end,Teacher1 traveling end,,,,,,,FALSE,,,,teacher1 leaves,act1_sc2_end,,,Dialogue_Cue_Outside_LT1,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Tunnel Woman,Tunnel Woman,,,,,,,FALSE,,,,prisoners_hide,act1_sc3_end,,,messenger needs help,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Random Ally,Random Ally,,,,,,,FALSE,,,,prisoners_hide,act1_sc3_end,,,messenger needs help,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Raider dojo1,Raider dojo1,,,,,,,FALSE,,,,,act1_sc3_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Mayor1_start,Mayor1_start,,,,,,,FALSE,,,,Mayor1_start_hide,act1_sc3_end,,,messenger needs help,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Mayor1_mid,Mayor1_mid,,,,,,,FALSE,,,,Mayor1_mid_hide,act1_sc3_end,,,Mayor1_mid_reveal,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Mayor1_end,Mayor1_end,,,,,,,FALSE,,,,Mayor1_end_hide,act1_sc3_end,,,Mayor1_end_reveal,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Raider dojo2,Raider dojo2,,,,,,,FALSE,,,,,act1_sc3_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Raider dojo3,Raider dojo3,,,,,,,FALSE,,,,,act1_sc3_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Raider dojo4,Raider dojo4,,,,,,,FALSE,,,,,act1_sc3_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Raider dojo5,Raider dojo5,,,,TRUE,,,FALSE,,,,,act1_sc3_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Raider dojo6,Raider dojo6,,,,,,,FALSE,,,,,act1_sc3_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Raider dojo7,Raider dojo7,,,,,,,FALSE,,,,,act1_sc3_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,forest_camera_cue13,forest_camera_cue13,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,tiger in distance,act1_sc2_end,,,forest_camera_cue13,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,FALSE,FALSE,TRUE,
116,forest_camera_cue14,forest_camera_cue14,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,forest_camera_cue15,act1_sc2_end,,,forest_camera_cue14,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,TRUE,FALSE,TRUE,
117,forest_camera_cue15,forest_camera_cue15,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,lake_camera_cue20,act1_sc2_end,,,tiger in distance,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,FALSE,FALSE,TRUE,
118,lake_camera_cue20,lake_camera_cue20,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,teacher1 leaves,act1_sc2_end,,,lake_camera_cue20,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,TRUE,FALSE,TRUE,
119,crossroads_bounds1,crossroads_bounds1,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,tiger in distance,,,,,Dialogue_Cue_Outside_FD1,,,,,,,,,,,,,,,,,,,,,,,,,
120,laketown_entrance_bounds1,laketown_entrance_bounds1,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,teacher1 leaves,,,,,Dialogue_Cue_Outside_LT1,,,,,,,,,,,,,,,,,,,,,,,,,
121,laketown_entrance_bounds2,laketown_entrance_bounds2,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Dialogue_Cue_Outside_LT2,,,,,,,,,,,,,,,,,,,,,,,,,
122,shrinesign_lt3,shrinesign_lt3,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,shrinesign_lt4,shrinesign_lt4,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,shrinesign_lt5,shrinesign_lt5,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,shrinesign_lt6,shrinesign_lt6,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,shrinesign_fv7,shrinesign_fv7,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,shrinesign_fv8,shrinesign_fv8,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,shrinesign_ld9,shrinesign_ld9,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,shrinesign_ld10,shrinesign_ld10,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,shrinesign_rt11,shrinesign_rt11,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,shrinesign_rt12,shrinesign_rt12,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,shrinesign_mt13,shrinesign_mt13,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,shrinesign_mt14,shrinesign_mt14,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,shrinesign_pt15,shrinesign_pt15,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,shrinesign_pt16,shrinesign_pt16,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,shrinesign_rn17,shrinesign_rn17,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,shrinesign_rn18,shrinesign_rn18,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,shrineheel_lt3,shrineheel_lt3,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,shrineheel_lt4,shrineheel_lt4,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,shrineheel_lt5,shrineheel_lt5,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,shrineheel_lt6,shrineheel_lt6,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,shrineheel_fv7,shrineheel_fv7,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,shrineheel_fv8,shrineheel_fv8,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,shrineheel_ld9,shrineheel_ld9,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,shrineheel_ld10,shrineheel_ld10,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,shrineheel_rt11,shrineheel_rt11,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,shrineheel_rt12,shrineheel_rt12,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,shrineheel_mt13,shrineheel_mt13,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,shrineheel_mt14,shrineheel_mt14,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,shrineheel_pt15,shrineheel_pt15,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,shrineheel_pt16,shrineheel_pt16,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,shrineheel_rn17,shrineheel_rn17,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,shrineheel_rn18,shrineheel_rn18,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
